title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
#Alive ,Movie,2020,TV-MA,"Yoo Ah-in, Park Shin-hye",Cho Il,"Horror, Zombie, Korean",6.2,98 mins,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",Korean,Yoo Ah-in,Park Shin-hye,,,,,,,,,,,,,,,,,,,,Cho Il,,,,,,Horror,Zombie,Korean,,,,,
#AnneFrank - Parallel Stories ,Movie,2019,TV-14,"Helen Mirren, Gengher Gatti","Sabina Fedeli, Anna Migotto",Documentary,,94 mins,"Through her diary, Anne Frank's story is retold alongside those of five Holocaust survivors in this poignant documentary from Oscar winner Helen Mirren.",English,Helen Mirren,Gengher Gatti,,,,,,,,,,,,,,,,,,,,Sabina Fedeli,Anna Migotto,,,,,Documentary,,,,,,,
#FriendButMarried ,Movie,2018,TV-G,"Adipati Dolken, Vanesha Prescilla, Refal Hady, Denira Wiraguna",Rako Prijanto,"Biography, Drama",7.1,102 min,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married.",Indonesian,Adipati Dolken,Vanesha Prescilla,Refal Hady,Denira Wiraguna,,,,,,,,,,,,,,,,,,Rako Prijanto,,,,,,Biography,Drama,,,,,,
#FriendButMarried 2 ,Movie,2020,TV-G,"Adipati Dolken, Mawar Eva de Jongh, Vonny Cornellya, Sari Nila",Rako Prijanto,"Biography, Drama, Romance",,104 mins,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",Indonesian,Adipati Dolken,Mawar Eva de Jongh,Vonny Cornellya,Sari Nila,,,,,,,,,,,,,,,,,,Rako Prijanto,,,,,,Biography,Drama,Romance,,,,,
#realityhigh,Movie,2017,TV-14,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers",Fernando Lebrija,,5.2,99 minutes,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",English,Nesta Cooper,Kate Walsh,John Michael Higgins,Keith Powers,,,,,,,,,,,,,,,,,,Fernando Lebrija,,,,,,,,,,,,,
01-Oct,Movie,2014,TV-14,"Sadiq Daba, David Bailie, Kayode Olaiya, Kehinde Bankole",Kunle Afolayan,,6.5,148 minutes,"Against the backdrop of Nigeria's looming independence from Britain, detective Danladi Waziri races to capture a killer terrorizing local women.",English,Sadiq Daba,David Bailie,Kayode Olaiya,Kehinde Bankole,,,,,,,,,,,,,,,,,,Kunle Afolayan,,,,,,,,,,,,,
100 Days with Tata ,Movie,2021,TV-14,"Luisa Cantero, Miguel Ángel Muñoz",Miguel Ángel Muñoz,Documentary,,82 min,"During the pandemic, actor Miguel Ángel Muñoz documents his 100-plus days living in a tiny flat with his beloved Tata, 95, who becomes an Instagram star.",Spanish,Luisa Cantero,Miguel Ángel Muñoz,,,,,,,,,,,,,,,,,,,,Miguel Ángel Muñoz,,,,,,Documentary,,,,,,,
100 Meters,Movie,2016,TV-MA,"Dani Rovira, Karra Elejalde, Alexandra Jiménez, David Verdaguer",Marcel Barrena,,7.5,108 minutes,"A man who is diagnosed with multiple sclerosis responds by training for an Ironman triathlon, with his cranky father-in-law's help.",Spanish,Dani Rovira,Karra Elejalde,Alexandra Jiménez,David Verdaguer,,,,,,,,,,,,,,,,,,Marcel Barrena,,,,,,,,,,,,,
100 Things to do Before High School,Movie,2014,TV-Y,"Isabela Moner, Jaheem Toombs, Owen Joyner, Jack De Sena",,,6.1,44 minutes,"Led by seventh-grader C.J., three students who have been warned about the dangers of high school decide to make the best of their middle-school years.",English,Isabela Moner,Jaheem Toombs,Owen Joyner,Jack De Sena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100% Halal ,Movie,2020,TV-14,"Anisa Rahma, Anandito Dwis, Kinaryosih, Arafah Rianti",Jastis Arimba,Drama,,100 mins,"After high school, a young woman marries the man of her father's choice but soon faces the possibility that her religion considers the union invalid.",Indonesian,Anisa Rahma,Anandito Dwis,Kinaryosih,Arafah Rianti,,,,,,,,,,,,,,,,,,Jastis Arimba,,,,,,Drama,,,,,,,
1000 Miles from Christmas ,Movie,2021,TV-PG,"Tamar Novas, Verónica Forqué, Peter Vives",Álvaro Fernández Armero,"Adventure, Comedy, Family",,111 min,"An auditor who completely despises Christmas is sent to a small town for work, where he meets a woman determined to change his view about the holiday.",Spanish,Tamar Novas,Verónica Forqué,Peter Vives,,,,,,,,,,,,,,,,,,,Álvaro Fernández Armero,,,,,,Adventure,Comedy,Family,,,,,
11:11 ,Movie,2022,TV-14,"Eyad Nassar, Ghada Adel, Injy Al Moqaddem, Omar El Shenawy, Mohamed Al-Sharnuby, Nour Ehab",Karim Abouzeid,"Horror, Thriller",,95 min,"When a troubled lawyer attempts suicide in his car, the stray bullet triggers a series of events intertwining the lives of three strangers.",Arabic,Eyad Nassar,Ghada Adel,Injy Al Moqaddem,Omar El Shenawy,Mohamed Al-Sharnuby,Nour Ehab,,,,,,,,,,,,,,,,Karim Abouzeid,,,,,,Horror,Thriller,,,,,,
11M: Terror in Madrid ,Movie,2022,TV-14,,Jose Gomez,Documentary,,92 min,"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",English,,,,,,,,,,,,,,,,,,,,,,Jose Gomez,,,,,,Documentary,,,,,,,
12 Strong ,Movie,2018,R,"Chris Hemsworth, Michael Shannon, Michael Peña",Nicolai Fuglsig,"Action, Drama, History",,130 min,"Following 9/11, a dozen US soldiers mount up on horseback in Afghanistan to help a local warlord take on a mutual enemy. Inspired by true events.",English,Chris Hemsworth,Michael Shannon,Michael Peña,,,,,,,,,,,,,,,,,,,Nicolai Fuglsig,,,,,,Action,Drama,History,,,,,
122,Movie,2019,TV-MA,"Ahmed Dawood, Tarek Lotfy, Amina Khalil, Ahmad El-Fishawi",Yasir Al-Yasiri,"Horror, Thriller",7.1,95 min,"After an awful accident, a couple admitted to a grisly hospital are separated and must find each other to escape -- before death finds them.",Arabic,Ahmed Dawood,Tarek Lotfy,Amina Khalil,Ahmad El-Fishawi,,,,,,,,,,,,,,,,,,Yasir Al-Yasiri,,,,,,Horror,Thriller,,,,,,
137 Shots ,Movie,2021,TV-MA,,Michael Milano,Documentary,,105 mins,"In this documentary, law enforcement faces scrutiny as Americans demand justice after police violence claims multiple Black lives in Cleveland.",English,,,,,,,,,,,,,,,,,,,,,,Michael Milano,,,,,,Documentary,,,,,,,
13: The Musical ,Movie,2022,PG,"Josh Peck, Rhea Perlman, Peter Hermann",Tamra Davis,"Comedy, Drama, Family",,91 min,"After moving from New York to Indiana in the wake of his parents' divorce, a clever middle schooler is determined to throw the best bar mitzvah ever.",English,Josh Peck,Rhea Perlman,Peter Hermann,,,,,,,,,,,,,,,,,,,Tamra Davis,,,,,,Comedy,Drama,Family,,,,,
13TH,Movie,2016,TV-MA,,Ava DuVernay,,8.2,100 minutes,"In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.",English,,,,,,,,,,,,,,,,,,,,,,Ava DuVernay,,,,,,,,,,,,,
13TH: A Conversation with Oprah Winfrey & Ava DuVernay,Movie,2017,TV-PG,"Oprah Winfrey, Ava DuVernay",,,6.9,36 minutes,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system.",English,Oprah Winfrey,Ava DuVernay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Peaks: Nothing Is Impossible ,Movie,2021,TV-MA,,Torquil Jones,"Documentary, Adventure, Sport",,101 min,"Fearless Nepali mountaineer Nimsdai Purja embarks on a seemingly impossible quest to summit all 14 of the world's 8,000-meter peaks in seven months.",English,,,,,,,,,,,,,,,,,,,,,,Torquil Jones,,,,,,Documentary,Adventure,Sport,,,,,
15-Aug,Movie,2019,TV-14,"Rahul Pethe, Mrunmayee Deshpande, Adinath Kothare, Vaibhav Mangale",Swapnaneel Jayakar,,5.8,124 minutes,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy.",Marathi,Rahul Pethe,Mrunmayee Deshpande,Adinath Kothare,Vaibhav Mangale,,,,,,,,,,,,,,,,,,Swapnaneel Jayakar,,,,,,,,,,,,,
17 Again,Movie,2009,PG-13,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",Burr Steers,"Comedy, Drama, Fantasy, Romance, Sport",,102 min,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",English,Zac Efron,Leslie Mann,Thomas Lennon,Matthew Perry,,,,,,,,,,,,,,,,,,Burr Steers,,,,,,Comedy,Drama,Fantasy,Romance,Sport,,,
18 Presents ,Movie,2020,TV-MA,"Vittoria Puccini, Benedetta Porcaroli, Edoardo Leo, Sara Lazzaro, Marco Messeri, Betty Pedrazzi",Francesco Amato,Drama,,114 mins,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.,Italian,Vittoria Puccini,Benedetta Porcaroli,Edoardo Leo,Sara Lazzaro,Marco Messeri,Betty Pedrazzi,,,,,,,,,,,,,,,,Francesco Amato,,,,,,Drama,,,,,,,
1922,Movie,2017,TV-MA,"Thomas Jane, Molly Parker, Dylan Schmid, Kaitlyn Bernard",Zak Hilditch,,6.3,102 minutes,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella.",English,Thomas Jane,Molly Parker,Dylan Schmid,Kaitlyn Bernard,,,,,,,,,,,,,,,,,,Zak Hilditch,,,,,,,,,,,,,
1BR,Movie,2019,TV-MA,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld",David Marmor,"Drama, Horror, Thriller",,90 min,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",English,Nicole Brydon Bloom,Giles Matthey,Taylor Nichols,Alan Blumenfeld,,,,,,,,,,,,,,,,,,David Marmor,,,,,,Drama,Horror,Thriller,,,,,
2 Hearts ,Movie,2020,PG-13,"Radha Mitchell, Jacob Elordi, Kari Matchett, Adan Canto",Lance Hool,"Drama, Romance",,101 min,"In parallel love stories, the lives of college student Chris and wealthy businessman Jorge intersect in a profound twist of fate. Based on a true story.",English,Radha Mitchell,Jacob Elordi,Kari Matchett,Adan Canto,,,,,,,,,,,,,,,,,,Lance Hool,,,,,,Drama,Romance,,,,,,
2 Weeks in Lagos ,Movie,2019,TV-PG,"Toyin Abraham, Shaffy Bello, Mawuli Gavor",Kathryn Fasegha,Romance,,117 min,A businessman returns home to Nigeria and falls in love with a friend's sister despite his family's plan for him to marry a politician's daughter.,English,Toyin Abraham,Shaffy Bello,Mawuli Gavor,,,,,,,,,,,,,,,,,,,Kathryn Fasegha,,,,,,Romance,,,,,,,
20th Century Girl ,Movie,2022,TV-PG,"Kim Yoo-jeong, Han Hyo-joo, Woo-Seok Byeon",Woo-ri Bang,"Drama, Romance",,119 min,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",Korean,Kim Yoo-jeong,Han Hyo-joo,Woo-Seok Byeon,,,,,,,,,,,,,,,,,,,Woo-ri Bang,,,,,,Drama,Romance,,,,,,
21,Movie,2008,PG-13,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo",Robert Luketic,,6.8,122 minutes,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,English,Jim Sturgess,Kevin Spacey,Kate Bosworth,Aaron Yoo,,,,,,,,,,,,,,,,,,Robert Luketic,,,,,,,,,,,,,
21 Bridges ,Movie,2019,R,"Chadwick Boseman, Sienna Miller, J.K. Simmons",Brian Kirk,"Action, Thriller",,99 min,"Armed with a bold plan to lock down Manhattan, a detective on a mission races against time to catch two cop killers -- and makes a shocking discovery.",English,Chadwick Boseman,Sienna Miller,J.K. Simmons,,,,,,,,,,,,,,,,,,,Brian Kirk,,,,,,Action,Thriller,,,,,,
21 Jump Street ,Movie,2012,R,"Jonah Hill, Channing Tatum, Ice Cube","Phil Lord, Christopher Miller","Action, Comedy, Crime",,109 min,Two rookie cops go from park duty to prom until they're given a big assignment: Bust a drug ring by going undercover as high school students.,English,Jonah Hill,Channing Tatum,Ice Cube,,,,,,,,,,,,,,,,,,,Phil Lord,Christopher Miller,,,,,Action,Comedy,Crime,,,,,
22-Jul,Movie,2018,R,"Jonas Strand Gravli, Anders Danielsen Lie, Jon Øigarden, Maria Bock",Paul Greengrass,,6.8,144 minutes,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story.",,Jonas Strand Gravli,Anders Danielsen Lie,Jon Øigarden,Maria Bock,,,,,,,,,,,,,,,,,,Paul Greengrass,,,,,,,,,,,,,
27 Steps of May ,Movie,2018,TV-MA,"Raihaanun Soeriaatmadja, Lukman Sardi, Ario Bayu",Ravi L. Bharwani,Drama,,112 min,"Tormented by a traumatic sexual assault in her past, a woman slowly discovers a world beyond her life in isolation.",Indonesian,Raihaanun Soeriaatmadja,Lukman Sardi,Ario Bayu,,,,,,,,,,,,,,,,,,,Ravi L. Bharwani,,,,,,Drama,,,,,,,
3 Idiots,Movie,2009,PG-13,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi",Rajkumar Hirani,,8.4,163 minutes,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system.",Hindi,Aamir Khan,Kareena Kapoor,Madhavan,Sharman Joshi,,,,,,,,,,,,,,,,,,Rajkumar Hirani,,,,,,,,,,,,,
3 Logical Exits ,Movie,2020,TV-14,"Reda Al-Saleh, Marie Kortam, Mahdi Fleifel",Mahdi Fleifel,"Documentary, Short",,15 min,"Three years after his documentary ""A Man Returned,"" filmmaker Mahdi Fleifel returns to Lebanon's Ain al-Hilweh refugee camp to visit a dear friend.",Arabic,Reda Al-Saleh,Marie Kortam,Mahdi Fleifel,,,,,,,,,,,,,,,,,,,Mahdi Fleifel,,,,,,Documentary,Short,,,,,,
30 Minutes or Less,Movie,2011,R,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson",Ruben Fleischer,"Action, Comedy, Crime",,83 min,"Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.

",English,Jesse Eisenberg,Danny McBride,Aziz Ansari,Nick Swardson,,,,,,,,,,,,,,,,,,Ruben Fleischer,,,,,,Action,Comedy,Crime,,,,,
30. March ,Movie,2021,TV-14,"Ahmad El-Fishawi, Dina El Sherbiny, Khaled El-Sawi",Ahmed Khaled,"Crime, Drama, Mystery",,98 mins,"A fugitive from a crime he doesn't recall committing, Ali sets out to uncover the truth with the help of his friends and finds himself in grave danger.",Arabic,Ahmad El-Fishawi,Dina El Sherbiny,Khaled El-Sawi,,,,,,,,,,,,,,,,,,,Ahmed Khaled,,,,,,Crime,Drama,Mystery,,,,,
3000 Nights ,Movie,2015,TV-MA,"Maisa Abd Elhadi, Nadira Omran, Rakeen Saad",Mai Masri,Drama,,103 min,"Wrongly accused, a Palestinian newlywed is incarcerated in an Israeli high-security prison and soon discovers that she's pregnant. Based on real events.",Arabic,Maisa Abd Elhadi,Nadira Omran,Rakeen Saad,,,,,,,,,,,,,,,,,,,Mai Masri,,,,,,Drama,,,,,,,
365 Days: This Day ,Movie,2022,TV-MA,"Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze, Ewa Kasprzyk","Barbara Białowąs, Tomasz Mandes","Drama, Romance",,111 mins,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,Polish,Anna-Maria Sieklucka,Michele Morrone,Simone Susinna,Magdalena Lamparska,Otar Saralidze,Ewa Kasprzyk,,,,,,,,,,,,,,,,Barbara Białowąs,Tomasz Mandes,,,,,Drama,Romance,,,,,,
37 Seconds,Movie,2020,TV-MA,"Mei Kayama, Misuzu Kanno, Shunsuke Daitoh, Makiko Watanabe",Hikari,,7.3,115 minutes,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation.",Japanese,Mei Kayama,Misuzu Kanno,Shunsuke Daitoh,Makiko Watanabe,,,,,,,,,,,,,,,,,,Hikari,,,,,,,,,,,,,
40 Sticks,Movie,2019,TV-MA,"Robert Agengo, Mwaura Bilal, Andreo Kamau, Cajetan Boy, Arabron Nyyeneque, Shiviske Shivisi",Victor Gatonye,"Thriller, Crime",,92 mins,"When their prison bus crashes in a forest on a rainy night, a group of criminals finds themselves battling wild animals and a mysterious killer.",Swahili,Robert Agengo,Mwaura Bilal,Andreo Kamau,Cajetan Boy,Arabron Nyyeneque,Shiviske Shivisi,,,,,,,,,,,,,,,,Victor Gatonye,,,,,,Thriller,Crime,,,,,,
40 Years Young ,Movie,2022,TV-MA,"Erick Elías, Adal Ramones, Gaby Espino, Ximena Gonzalez-Rubio, Sonia Couoh, Antonio Fortier ",Pietro Loprieno,Comedy,,81 min,"After learning a bitter truth, a chef joins his best friend and restaurant partner in a culinary competition in Cancún to reignite his zest for life.",Spanish,Erick Elías,Adal Ramones,Gaby Espino,Ximena Gonzalez-Rubio,Sonia Couoh,Antonio Fortier ,,,,,,,,,,,,,,,,Pietro Loprieno,,,,,,Comedy,,,,,,,
40-Love ,Movie,2021,TV-MA,"Jasjit Williams, Katerina Tannenbaum, Alena Savostikova",Fred Wolf,"Comedy, Sport",,98 min,A statistics whiz sets out on a cross-country road trip in hope of helping a popular tennis star win an upcoming tournament.,English,Jasjit Williams,Katerina Tannenbaum,Alena Savostikova,,,,,,,,,,,,,,,,,,,Fred Wolf,,,,,,Comedy,Sport,,,,,,
4L,Movie,2019,TV-MA,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Juan Dos Santos",Gerardo Olivares,,5.9,105 minutes,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",Spanish,Jean Reno,Hovik Keuchkerian,Susana Abaitua,Juan Dos Santos,,,,,,,,,,,,,,,,,,Gerardo Olivares,,,,,,,,,,,,,
4th Republic ,Movie,2019,TV-MA,"Kate Henshaw-Nuttal, Enyinna Nwigwe, Linda Ejiofor, Yakubu Mohammed, Bimbo Manuel, Sani Mu\'azu",Ishaya Bako,"Nollywood, Political, Thriller",,119 mins,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory.",English,Kate Henshaw-Nuttal,Enyinna Nwigwe,Linda Ejiofor,Yakubu Mohammed,Bimbo Manuel,Sani Mu\'azu,,,,,,,,,,,,,,,,Ishaya Bako,,,,,,Nollywood,Political,Thriller,,,,,
5 Star Christmas,Movie,2018,TV-14,"Massimo Ghini, Ricky Memphis, Martina Stella, Ralph Palka",Marco Risi,,4.5,95 minutes,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy.",Italian,Massimo Ghini,Ricky Memphis,Martina Stella,Ralph Palka,,,,,,,,,,,,,,,,,,Marco Risi,,,,,,,,,,,,,
6 Balloons,Movie,2018,TV-MA,"Abbi Jacobson, Dave Franco, Jane Kaczmarek, Tim Matheson",Marja Lewis Ryan,,5.8,75 minutes,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.,English,Abbi Jacobson,Dave Franco,Jane Kaczmarek,Tim Matheson,,,,,,,,,,,,,,,,,,Marja Lewis Ryan,,,,,,,,,,,,,
6 Underground,Movie,2019,R,"Ryan Reynolds, Mélanie Laurent, Corey Hawkins, Dave Franco",Michael Bay,,6.1,128 minutes,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator.",English,Ryan Reynolds,Mélanie Laurent,Corey Hawkins,Dave Franco,,,,,,,,,,,,,,,,,,Michael Bay,,,,,,,,,,,,,
678 ,Movie,2010,TV-14,"Nelly Karim, Bushra, Maged El-Kidwani, Basem Samrah",Mohamed Diab,"Drama, Egyptian",,100 min,"This film sheds light on sexual harassment in Egypt, following the lives of three women from different social classes who have been subjected to it.",Arabic,Nelly Karim,Bushra,Maged El-Kidwani,Basem Samrah,,,,,,,,,,,,,,,,,,Mohamed Diab,,,,,,Drama,Egyptian,,,,,,
7 años,Movie,2016,TV-MA,"Paco León, Juana Acosta, Juan Pablo Raba, Alex Brendemühl",Roger Gual,,6.8,77 minutes,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.,,Paco León,Juana Acosta,Juan Pablo Raba,Alex Brendemühl,,,,,,,,,,,,,,,,,,Roger Gual,,,,,,,,,,,,,
7 Khoon Maaf,Movie,2011,TV-MA,"Priyanka Chopra, Neil Nitin Mukesh, John Abraham, Irrfan Khan",Vishal Bhardwaj,,6.1,147 minutes,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men -- only to find them flawed.",,Priyanka Chopra,Neil Nitin Mukesh,John Abraham,Irrfan Khan,,,,,,,,,,,,,,,,,,Vishal Bhardwaj,,,,,,,,,,,,,
7 Prisoners ,Movie,2021,R,"Josias Duarte, Cecília Homem de Mello, Vitor Julian",Alexandre Moratto,Drama,,93 min,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,Portuguese,Josias Duarte,Cecília Homem de Mello,Vitor Julian,,,,,,,,,,,,,,,,,,,Alexandre Moratto,,,,,,Drama,,,,,,,
7 Yards: The Chris Norton Story ,Movie,2021,TV-PG,"Chris Norton, Mike Barwis, Emily Norton",Jonathon Link,Documentary,,93 min,"The true story of former college football player Chris Norton, who defied the odds after a devastating accident -- with the woman he loves by his side.",English,Chris Norton,Mike Barwis,Emily Norton,,,,,,,,,,,,,,,,,,,Jonathon Link,,,,,,Documentary,,,,,,,
9to5: The Story of a Movement ,Movie,2020,TV-MA,"Rose Aguirra, Verna Barksdale, Laurie Brown","Steven Bognar, Julia Reichert","Documentary, History",,89 min,"In this documentary, female office workers in '70s Boston inspire change with a call for better pay, more opportunities and an end to sexual harassment.",English,Rose Aguirra,Verna Barksdale,Laurie Brown,,,,,,,,,,,,,,,,,,,Steven Bognar,Julia Reichert,,,,,Documentary,History,,,,,,
A 2nd Chance,Movie,2011,PG,"Nina Pearce, Adam Tuominen, Emily Morris, Amy Handley",Clay Glen,,4.7,95 minutes,"A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team.",English,Nina Pearce,Adam Tuominen,Emily Morris,Amy Handley,,,,,,,,,,,,,,,,,,Clay Glen,,,,,,,,,,,,,
A 3 Minute Hug,Movie,2019,TV-PG,,Everardo González,,6.4,28 minutes,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.,Spanish,,,,,,,,,,,,,,,,,,,,,,Everardo González,,,,,,,,,,,,,
A Babysitter's Guide to Monster Hunting ,Movie,2020,TV-PG,"Tom Felton, Indya Moore, Oona Laurence, Momona Tamada",Rachel Talalay,"Comedy, Family, Fantasy",,94 min,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween.",English,Tom Felton,Indya Moore,Oona Laurence,Momona Tamada,,,,,,,,,,,,,,,,,,Rachel Talalay,,,,,,Comedy,Family,Fantasy,,,,,
A Bad Moms Christmas,Movie,2017,R,"Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon","Jon Lucas, Scott Moore",,5.6,104 minutes,"Stressed-out moms Amy, Carla and Kiki are back, and the looming Christmas holiday gets even more daunting when their mothers show up for a visit.",English,Mila Kunis,Kristen Bell,Kathryn Hahn,Susan Sarandon,,,,,,,,,,,,,,,,,,Jon Lucas,Scott Moore,,,,,,,,,,,,
A Beautiful Life,Movie,2011,TV-14,"Shu Qi, Liu Ye, Anthony Wong Chau-sang, Liang Tian",Andrew Lau Wai-keung,,6.7,122 minutes,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives.",Mandarin,Shu Qi,Liu Ye,Anthony Wong Chau-sang,Liang Tian,,,,,,,,,,,,,,,,,,Andrew Lau Wai-keung,,,,,,,,,,,,,
A Boy Called Christmas ,Movie,2021,PG,"Maggie Smith, Michiel Huisman, Kristen Wiig",Gil Kenan,"Adventure, Drama, Family",,106 min,Determined young Nikolas meets his destiny in a magical land inhabited by elves on a quest to find his father -- and bring home the gift of hope.,English,Maggie Smith,Michiel Huisman,Kristen Wiig,,,,,,,,,,,,,,,,,,,Gil Kenan,,,,,,Adventure,Drama,Family,,,,,
A Breath of Fresh Air ,Movie,2022,TV-MA,"Aldo Baglio, Lucia Ocone, Giovanni Calcagno, Ludovica Martino, Davide Calgaro, Manuela Ventura",Alessio Lauria,"Comedy, Drama",,95 mins,Salvo wants to save his bankrupt pizzeria. Lillo wants to save the family farm. The two estranged brothers must come together when their father dies.,Italian,Aldo Baglio,Lucia Ocone,Giovanni Calcagno,Ludovica Martino,Davide Calgaro,Manuela Ventura,,,,,,,,,,,,,,,,Alessio Lauria,,,,,,Comedy,Drama,,,,,,
A California Christmas ,Movie,2020,TV-14,"Lauren Swickard, Josh Swickard, Amanda Detmer, Ali Afshar",Shaun Paul Piccinino,"Comedy, Romance",,106 min,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas.",English,Lauren Swickard,Josh Swickard,Amanda Detmer,Ali Afshar,,,,,,,,,,,,,,,,,,Shaun Paul Piccinino,,,,,,Comedy,Romance,,,,,,
A California Christmas: City Lights ,Movie,2021,PG-13,"Lauren Swickard, Josh Swickard, Amanda Detmer",Shaun Paul Piccinino,"Drama, Romance",,90 min,"A year after their romance took root, Callie and Joseph are leaving the ranch for family business in San Francisco -- with wedding bells on the horizon.",English,Lauren Swickard,Josh Swickard,Amanda Detmer,,,,,,,,,,,,,,,,,,,Shaun Paul Piccinino,,,,,,Drama,Romance,,,,,,
A Call to Spy ,Movie,2019,PG-13,"Sarah Megan Thomas, Stana Katic, Radhika Apte",Lydia Dean Pilcher,"Biography, Crime, Drama",,123 min,"After France falls to the Nazis, two women seek to support the war effort by spying for a secret agency under Churchill. Based on a true story.",English,Sarah Megan Thomas,Stana Katic,Radhika Apte,,,,,,,,,,,,,,,,,,,Lydia Dean Pilcher,,,,,,Biography,Crime,Drama,,,,,
A Castle For Christmas ,Movie,2021,TV-G,"Cary Elwes, Brooke Shields, Vanessa Grasse",Mary Lambert,"Adventure, Comedy, Family",,98 min,"To escape a scandal, a bestselling author journeys to Scotland, where she falls in love with a castle -- and faces off with the grumpy duke who owns it.",English,Cary Elwes,Brooke Shields,Vanessa Grasse,,,,,,,,,,,,,,,,,,,Mary Lambert,,,,,,Adventure,Comedy,Family,,,,,
A Chaster Marriage,Movie,2016,TV-14,"Emre Karayel, Ceren Moray, Begüm Kütük, Ferdi Akarnur",Umut Kirca,"Comedy, Family, Romance",,98 min,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves.",Turkish,Emre Karayel,Ceren Moray,Begüm Kütük,Ferdi Akarnur,,,,,,,,,,,,,,,,,,Umut Kirca,,,,,,Comedy,Family,Romance,,,,,
