title,type,titlereleased,rating,actors,director,category,imdb,runtime,description,language,actor_0,actor_1,actor_2,actor_3,actor_4,actor_5,actor_6,actor_7,actor_8,actor_9,actor_10,actor_11,actor_12,actor_13,actor_14,actor_15,actor_16,actor_17,actor_18,actor_19,actor_20,director_0,director_1,director_2,director_3,director_4,director_5,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7
Grandmother's Farm ,Movie,2013,TV-14,"Khalid Al Nuaimi, Yaser Al-Neyadi, Abdullah Alramsi, Saeed Alsheryani",Ahmed Zain,"Comedy, Horror, Mystery",,71 min,A guys' getaway to an isolated farm in the desert goes from fun to frightening when a mysterious guest crashes the party.,Arabic,Khalid Al Nuaimi,Yaser Al-Neyadi,Abdullah Alramsi,Saeed Alsheryani,,,,,,,,,,,,,,,,,,Ahmed Zain,,,,,,Comedy,Horror,Mystery,,,,,
Grandmother's Farm Part 2 ,Movie,2015,TV-14,,Ahmed Zain,"Comedy, Horror, Thriller",7.4,80 mins,"After their haunting experience on a desert farm, a group of buddies escapes on a faraway getaway to seaside Fujairah -- and right into more terror.",Arabic,,,,,,,,,,,,,,,,,,,,,,Ahmed Zain,,,,,,Comedy,Horror,Thriller,,,,,
Grass Is Greener,Movie,2019,TV-MA,,Fab 5 Freddie,,7.1,97 minutes,It lit up jazz and hip-hop -- and ignited a war on drugs steeped in racial injustice. Experts explore America's complicated relationship with weed.,English,,,,,,,,,,,,,,,,,,,,,,Fab 5 Freddie,,,,,,,,,,,,,
Green Snake ,Movie,2019,TV-14,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao",Amp Wong,"Action, Fantasy",,78 min,"While trying to free her sister from Fahai's clutches, Xiao Qing winds up in a dystopian city and meets a mysterious man who can't recall his past life.",Chinese,Tang Xiaoxi,Zhang Fuzheng,Wei Chao,,,,,,,,,,,,,,,,,,,Amp Wong,,,,,,Action,Fantasy,,,,,,
Greg Davies: You Magnificent Beast,Movie,2018,TV-MA,Greg Davies,Peter Orton,,7.1,66 minutes,"British comedian Greg Davies revisits terrifying dates, manscaping disasters, his father's pranks and more in a savagely funny stand-up special.",English,Greg Davies,,,,,,,,,,,,,,,,,,,,,Peter Orton,,,,,,,,,,,,,
Grego Rossello: Disculpe las molestias,Movie,2019,TV-MA,Grego Rossello,Juani Libonatti,,4.5,65 minutes,"Argentine comedian Grego Rossello takes the stage in Buenos Aires to share his takes on modern stardom, airline dining, brotherly love and more.",Spanish,Grego Rossello,,,,,,,,,,,,,,,,,,,,,Juani Libonatti,,,,,,,,,,,,,
Gridlocked,Movie,2015,R,"Dominic Purcell, Cody Hackman, Stephen Lang, Trish Stratus",Allan Ungar,,5.8,114 minutes,"An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries.",English,Dominic Purcell,Cody Hackman,Stephen Lang,Trish Stratus,,,,,,,,,,,,,,,,,,Allan Ungar,,,,,,,,,,,,,
Grillo vs Grillo,Movie,2017,TV-MA,Beppe Grillo,Enzo Pirrone,,4.7,95 minutes,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.",Italian,Beppe Grillo,,,,,,,,,,,,,,,,,,,,,Enzo Pirrone,,,,,,,,,,,,,
Grudge ,Movie,2021,TV-MA,"Yilmaz Erdogan, Cem Yigit Uzümoglu, Duygu Sarisin",Turkan Derya,"Crime, Drama, Thriller",,105 min,"Ahead of a promotion, a police chief becomes embroiled in a fatal incident and uncovers a grudge-fueled plot that threatens his associates.",Turkish,Yilmaz Erdogan,Cem Yigit Uzümoglu,Duygu Sarisin,,,,,,,,,,,,,,,,,,,Turkan Derya,,,,,,Crime,Drama,Thriller,,,,,
Grumpy Christmas ,Movie,2021,TV-MA,"Renata Notni, Angélica María, Alex Rose Wiesel",Raúl Martínez,Comedy,,87 min,"A family trip to the beach turns crazy when Servando and Alicia, Alma's willful aunt, start an over-the-top competition to control Christmas.",English,Renata Notni,Angélica María,Alex Rose Wiesel,,,,,,,,,,,,,,,,,,,Raúl Martínez,,,,,,Comedy,,,,,,,
