title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
Angela's Christmas,Movie,2018,https://occ-0-1722-1723.1.nflxso.net/art/953af/41d93a5a0325d96470da21059d4fbfdfcd6953af.jpg,https://occ-0-1722-1723.1.nflxso.net/art/953af/41d93a5a0325d96470da21059d4fbfdfcd6953af.jpg,TV-Y,SuperHD,"Lucy O'Connell, Ruth Negga, Brendan Mullins, Malachy McCourt",Damien O’Connor,,7.0/10,30 minutes,80230507,2018-11-30,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,English
Angela's Christmas Wish ,Movie,2020,https://www.whats-on-netflix.com/wp-content/uploads/covers/angelaschristmaswish.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/angelaschristmaswish.jpeg,TV-Y,SuperHD,Lucy O\'Connell,Damien O\'Connor,"Animation, Short, Adventure",,47 min,81151926,2020-12-01,"With her father working far away in Australia, a determined Angela makes a plan -- and a heartfelt wish -- to reunite her family in time for the holidays.",English
Angèle ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/angle.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/angle.jpeg,TV-MA,,Angèle,"Sébastien Rensonnet, Brice Vdh","Documentary, Biography, Music",,84 min,81313522,2021-11-26,"Belgian pop star Angèle reflects on her life and hopes as she finds balance amid the tears, joys and loneliness of fame. Told through her own words.",French
Angeliena ,Movie,2021,https://www.whats-on-netflix.com/wp-content/uploads/covers/angeliena.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/angeliena.jpeg,TV-MA,,"Caleb Arnolds, Schalk Bezuidenhout, Neo Carlini-Vidulin",Uga Carlini,Drama,,95 min,81343009,2021-10-15,"After a string of life-changing revelations, a beloved parking attendant pieces a new plan together and chases her dream of traveling the world.",English
Angels & Demons,Movie,2009,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABfhDwPSUExRzRmEkcqnEqsunGWBeM2QsCyZK9JEbYyKP_p4PYB10B2vdlT1Y42j-Lz2Rhy6dbiJzTZirvDZeVZnJUxxnXOUJFQ.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABfhDwPSUExRzRmEkcqnEqsunGWBeM2QsCyZK9JEbYyKP_p4PYB10B2vdlT1Y42j-Lz2Rhy6dbiJzTZirvDZeVZnJUxxnXOUJFQ.jpg,PG-13,SuperHD,"Tom Hanks, Ewan McGregor, Ayelet Zurer, Stellan Skarsgård",Ron Howard,Thrillers,6.6/10,138 minutes,70103523,2019-05-01,Catholic Church officials call upon a symbologist to help foil an attack on the Vatican by a secret society looking to retaliate for old persecutions.,English
Angu Vaikuntapurathu (Malayalam),Movie,2020,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1eCGzBqFrCBlyzYrnxo45N839ZYllzzfFm-XGHGFlQ2KjAdU__-hgJ2ZLY5lnVFW82yzTUgTmDG_EAk-VH8o0eJMu4.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABa1eCGzBqFrCBlyzYrnxo45N839ZYllzzfFm-XGHGFlQ2KjAdU__-hgJ2ZLY5lnVFW82yzTUgTmDG_EAk-VH8o0eJMu4.jpg,TV-14,SuperHD,"Allu Arjun, Pooja Hegde, Tabu, Sushanth",Trivikram Srinivas,,,161 minutes,81259350,2020-03-04,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",Telugu
Aníkúlápó ,Movie,2022,https://www.whats-on-netflix.com/wp-content/uploads/covers/anklp.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/anklp.jpeg,TV-MA,,"Debo Adebayo, Bimbo Ademoye, Aisha Lawal",Kunle Afolayan,"Drama, Fantasy",,142 min,81392197,2022-09-30,"After an affair with a queen leads to his demise, an eager traveler encounters a mystical bird with the power to give him another life.",Yoruba
ANIMA,Movie,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYtZdUg-Z7kSOJUOho7joOjUycYDBDMwpMXH7K5CcWCDRp-DjDxvuNZsqjEXwKksCFSZRkaKhrh4Ui5P8P07kLJeziTZ4u9-Cre6NxD0MicyFyKlb2K_.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABYtZdUg-Z7kSOJUOho7joOjUycYDBDMwpMXH7K5CcWCDRp-DjDxvuNZsqjEXwKksCFSZRkaKhrh4Ui5P8P07kLJeziTZ4u9-Cre6NxD0MicyFyKlb2K_.jpg,TV-PG,SuperHD,Thom Yorke,Paul Thomas Anderson,,7.7/10,15 minutes,81110498,2019-06-27,"In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",English
Animal ,Movie,2016,https://www.whats-on-netflix.com/wp-content/uploads/covers/animal.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/animal.jpeg,TV-14,,"Mohammed Ahmed, Dunya Asi, Abhijit Baruah",Nayla Al Khaja,"Short, Drama",,16 min,81623716,2022-09-08,"A 7-year-old child struggles to endure a life marked by three contradicting forces: a domineering father, an ambitious mother and a flamboyant cook.",English
Animal Crackers,Movie,2017,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZs8ukk72i46hhECwoLqB8Bhp3F98lUZxg1zTRoBRb6EnFX861z-o7rWIdlEruWcAcQdBCeRROVkgJDpDr2dEQMehquipD18ihHq1lr09YunY4sspXMFvSquYb6Rgw.jpg,https://occ-0-1722-1723.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZs8ukk72i46hhECwoLqB8Bhp3F98lUZxg1zTRoBRb6EnFX861z-o7rWIdlEruWcAcQdBCeRROVkgJDpDr2dEQMehquipD18ihHq1lr09YunY4sspXMFvSquYb6Rgw.jpg,TV-Y7,SuperHD,"Emily Blunt, Danny DeVito, John Krasinski, Ian McKellen","Tony Bancroft, Scott Christian Sava, Jaime Maestro(co-director)","Animation, Adventure, Comedy, Family, Fantasy",,94 min,81191856,2020-07-24,"Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he'll have to keep them out of his evil uncle's hands.",English
