title,type,titlereleased,image_landscape,image_portrait,rating,quality,actors,director,category,imdb,runtime,netflixid,date_released,description,language
2020 ,TV,2021–,https://www.whats-on-netflix.com/wp-content/uploads/covers/2020.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/2020.jpeg,TV-14,,"Nadine Nassib Njeim, Kosai Khauli, Fadi Abi Samra, Carmen Lebbos, Randa Kaadi, Fady Ibrahim ",N/A,"Crime, Drama, Thriller",,N/A,81585965,2022-06-09,"Seeking personal revenge, an investigator goes undercover to capture a wanted drug lord, but her mission gets complicated by unwanted feelings.",Arabic
28 Days Haunted ,TV,2022–,https://www.whats-on-netflix.com/wp-content/uploads/covers/28dayshaunted.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/28dayshaunted.jpeg,TV-14,,N/A,N/A,"Horror, Reality-TV",,N/A,81397887,2022-10-21,Three teams each spend 28 days in some of America's most haunted locations for a paranormal experiment based on the theories of Ed and Lorraine Warren.,English
3%,TV,2016,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABa1QWU1CCfVfCtf7T1ImgGLD_dvkuk8Kw3Co2A00MVeThNI_Jl7OLu-jPGBJnMsktarkFzU0WzN-JnOlklr_TKxoDTRsgqD4WDEPha_uzoZegCpf0SutV8vwyWSfZSUllSgKoEbLPl_XvjetIUvgsg.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABa1QWU1CCfVfCtf7T1ImgGLD_dvkuk8Kw3Co2A00MVeThNI_Jl7OLu-jPGBJnMsktarkFzU0WzN-JnOlklr_TKxoDTRsgqD4WDEPha_uzoZegCpf0SutV8vwyWSfZSUllSgKoEbLPl_XvjetIUvgsg.jpg,TV-MA,SuperHD,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente",,,7.4/10,,80074220,2016-11-25,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.",Portuguese
3Below: Tales of Arcadia,TV,2018,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABeL164dqbc3XH8UqRaoY0N0Xgt3zxSnPY8GJYiJqT8ZkfhAG2D9grrMfKa55LhNKnGoe-FDYRYvYIjC6ryEJ6zTpzgjd95JOet3R50L1uUxGwoSyvTSFiGeQU4AAwsJzgh1JkiKBhM8VPKxGG1ARP_B5O0PpEC0.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABeL164dqbc3XH8UqRaoY0N0Xgt3zxSnPY8GJYiJqT8ZkfhAG2D9grrMfKa55LhNKnGoe-FDYRYvYIjC6ryEJ6zTpzgjd95JOet3R50L1uUxGwoSyvTSFiGeQU4AAwsJzgh1JkiKBhM8VPKxGG1ARP_B5O0PpEC0.jpg,TV-Y7,SuperHD,"Tatiana Maslany, Diego Luna, Nick Offerman, Alon Aboutboul",,,7.8/10,,80179784,2018-12-21,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",English
42 Days of Darkness ,TV,2022–,https://www.whats-on-netflix.com/wp-content/uploads/covers/42daysofdarkness.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/42daysofdarkness.jpeg,TV-MA,,"Claudia Di Girólamo, Pablo Macaya, Daniel Alcaíno, Aline Küppenheim, Julia Lübbert, Montserrat Lira","Gaspar Antillo, Claudia Huaiquimilla","Crime, Drama, Mystery",,47 mins,81283608,2022-05-11,"In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case.",Spanish
44 Cats,TV,2018,https://occ-0-2430-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeM6vLnmmnP4xozC4Kk6AoxDRgMqmg39AJq2gwYMY4SGEYddnwS2qGAT-YR30yVq_WeNCB7kwtGCf4XA28keJgE.jpg?r=1e5,https://occ-0-2430-116.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABeM6vLnmmnP4xozC4Kk6AoxDRgMqmg39AJq2gwYMY4SGEYddnwS2qGAT-YR30yVq_WeNCB7kwtGCf4XA28keJgE.jpg?r=1e5,TV-Y7,SuperHD,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder",,,,,81081459,2020-05-01,"Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",English
45 rpm,TV,2019,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABcTNxE2ZAoBvAUX9IEkvLqu-kkpO1o6PDAGU3yJqH-cz1lF2tIz8qi9lbpxtKA0i_n6b5NaYjwm0D4KDs9TLp_6Eyq_UfS15oaGsbHHp2UKJ4FYCAt8wTWvYatcYjg.jpg,https://occ-0-1723-1722.1.nflxso.net/dnm/api/v6/XsrytRUxks8BtTRf9HNlZkW2tvY/AAAABcTNxE2ZAoBvAUX9IEkvLqu-kkpO1o6PDAGU3yJqH-cz1lF2tIz8qi9lbpxtKA0i_n6b5NaYjwm0D4KDs9TLp_6Eyq_UfS15oaGsbHHp2UKJ4FYCAt8wTWvYatcYjg.jpg,TV-MA,SuperHD,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde",,,7.3/10,,81040407,2019-08-16,"In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",Spanish
50M2,TV,2021–,https://www.whats-on-netflix.com/wp-content/uploads/covers/50m2.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/50m2.jpeg,TV-MA,SuperHD,"Engin Öztürk, Kürşat Alnıaçık, Cengiz Bozkurt, Aybüke Pusat, Tolga Tekin, Özgür Emre Yıldırım",N/A,Thrillers,,51 mins,81103322,2021-01-27,"Seeking to uncover the truth about his past, a henchman betrays someone close to him and assumes a new identity in a small Istanbul neighborhood.",Turkish
60 Days In,TV,2016–,https://www.whats-on-netflix.com/wp-content/uploads/covers/60daysin.jpeg,https://www.whats-on-netflix.com/wp-content/uploads/covers/60daysin.jpeg,TV-14,,"Zachary Holland Baker, Monalisa Johnson, Tami Ferraiuolo, Barbra Roylance Williams",N/A,Reality-TV,,42 min,81169603,2020-11-01,"Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",English
7 Days Out,TV,2018,https://occ-0-1722-1723.1.nflxso.net/art/bb8d1/f13b9340a676e6d066db3fbf2dcbe617ad8bb8d1.jpg,https://occ-0-1722-1723.1.nflxso.net/art/bb8d1/f13b9340a676e6d066db3fbf2dcbe617ad8bb8d1.jpg,TV-PG,SuperHD,,,,6.8/10,,80207124,2018-12-21,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",English
